task_title,task_description,priority
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.99
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.96
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.37
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.98
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.61
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.26
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.11
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.31
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.48
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.67
Обновление README,Уточнить инструкции по запуску проекта.,0.16
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.88
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.79
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.88
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.37
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.04
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.51
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.51
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.27
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.32
Редактирование стиля программуа,Применить линтер ко всем модулям проекта.,0.14
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.61
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.59
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.98
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.18
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.97
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.38
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.37
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.67
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.51
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.69
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.27
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.31
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.91
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.81
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.62
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.87
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.89
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.87
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.37
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.95
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.68
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.44
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.47
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.84
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.67
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.97
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.07
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.19
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.49
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.27
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.5
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.76
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.18
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.34
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.77
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.82
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.38
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.94
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.33
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.85
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.98
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.58
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.44
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.95
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.52
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Обновление README,Уточнить инструкции по запуску проекта.,0.15
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.73
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.99
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.13
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.63
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.86
Обновление README,Уточнить инструкции по запуску проекта.,0.01
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.05
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.84
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.31
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.61
Обновление README,Уточнить инструкции по запуску проекта.,0.15
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.8
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.78
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.41
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.89
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.34
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.81
Обновление внутренней документации,Обновить описание API в Confluence.,0.06
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.97
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.63
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.9
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.65
Обновление README,Уточнить инструкции по запуску проекта.,0.11
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.3
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.66
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.09
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.03
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.99
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.7
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.47
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.95
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.39
Обновление внутренней документации,Обновить описание API в Confluence.,0.08
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.74
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.39
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.53
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.35
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.08
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.58
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.08
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.97
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.13
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.33
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.21
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.84
Обновление внутренней документации,Обновить описание API в Confluence.,0.13
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.46
Обновление README,Уточнить инструкции по запуску проекта.,0.09
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.81
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.91
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.49
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.09
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.29
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.85
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.25
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.75
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.69
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.12
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.77
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.26
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.51
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.49
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.87
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.29
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.98
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.81
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.97
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.24
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Добавление комментариев в программу,Дополнить модули поясняющими комментариями.,0.09
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.45
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.52
Обновление README,Уточнить инструкции по запуску проекта.,0.03
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.39
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.84
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.96
Обновление внутренней документации,Обновить описание API в Confluence.,0.05
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.45
Очистка устаревшего функцииа,Провести рефакторинг старых функций без изменения логики.,0.12
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.45
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.27
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.04
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Редактирование стиля функцииа,Применить линтер ко всем модулям проекта.,0.02
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.23
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.78
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.56
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.96
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.88
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.69
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.26
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.84
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.54
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.71
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.25
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.24
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
